gene,sander,lof_z,ios,exac,pNull,pRec,miss_z,zhang,krish,n_syn,mu_lof,mu_mis,mu_syn,bp,DF,EC,AS,CE,core,Hub
DYNC1H1,-2.469978424,5.230740369,-1.810815306,1.609318021,-0.590753996,-1.320594002,7.697560831,0.653967329,0.610520146,7.572545348,6.834852537,7.374287752,7.259708,6.595128594,-0.057847182,-0.012817308,0.052918638,1.077871019,1.845751549,-0.074187384
HUWE1,0.583521971,3.934373563,-1.809201419,1.609318021,-0.590753996,-1.320594002,4.667770193,1.867439214,0.306244884,3.489093678,6.564460784,5.764767852,4.606692243,6.151501391,-0.115642546,-0.037845996,0.020634826,0.549790818,1.300044225,-0.095139312
TRRAP,-1.042415724,4.79831491,-1.818353337,1.609318021,-0.590753996,-1.320594002,5.300128618,1.457530432,0.257560842,6.936862898,5.631609237,6.115837098,6.336411767,5.311545474,4.427732038,0.313869746,0.093636793,3.008117545,3.300971081,0.550963717
PRPF8,-0.104915456,3.321808172,-1.3520976,1.609318018,-0.590753996,-1.320594,5.729543821,1.218269141,0.008055128,3.963161946,3.495514391,3.162405777,2.561415779,2.825928353,5.93381696,2.341684361,2.199332281,6.896414004,6.120458923,2.498156859
HERC2,0.5840432,4.862339535,-1.815991552,1.609318021,-0.590753996,-1.320594002,4.335014081,1.733507636,0.97565046,7.184671311,7.037646351,7.711333208,8.393375526,6.901753278,-0.351535491,-0.135131681,-0.124271333,-0.25887194,-0.60993141,-0.117385656
LRP1,0.568733597,5.514500071,-1.818845375,1.609318021,-0.590753996,-1.320594002,5.774320231,0.775478429,-0.81348808,7.691062415,7.44323398,8.88669554,9.188111523,6.428768393,0.599634178,-0.126933156,-0.123609709,-0.172585521,0.572434459,-0.101780353
CNOT1,0.3705812,3.525056234,-1.38093106,1.609318021,-0.590753996,-1.320594002,3.892084408,1.71330853,-0.454443271,2.465537191,3.191323669,2.392678942,1.813428958,2.89279863,-0.373165277,-0.074559801,-0.035438183,0.036698379,0.936239342,-0.117385764
SMARCA4,-2.52485808,2.658261833,-1.78483567,1.609318016,-0.590753996,-1.320593996,4.436554154,1.408261968,1.943245793,2.691797046,2.042158721,2.677372429,2.970471072,1.703812487,3.168962009,0.526366491,0.581954002,4.198105858,3.573824743,0.46690912
SNRNP200,0.370354582,3.486981926,-1.602643633,1.609318021,-0.590753996,-1.320594002,4.221327776,1.496055958,0.354928926,2.271600173,3.252161814,2.74590975,2.269233427,2.501362862,2.114052706,3.10587272,4.212415455,7.390410736,6.120458923,1.279237073
CHD3,0.180251522,3.100871562,-1.714926832,1.609318011,-0.590753996,-1.32059399,3.717578709,1.710653775,1.036505513,2.347020124,3.353558721,2.824991274,2.701663308,2.37577722,2.136099848,0.03812417,-0.051394272,0.238345827,1.118141784,0.153450365
